true_values,predicted_values
0.5061303,0.5160783
0.50373566,0.5153792
0.5012452,0.5149369
0.5095785,0.51340526
0.5061303,0.512416
0.50373566,0.5124831
0.5012452,0.5117502
0.4994253,0.51125294
0.5061303,0.51083547
0.50373566,0.50958085
0.5012452,0.5096086
0.4994253,0.5088101
0.497318,0.50831115
0.50373566,0.50750417
0.5012452,0.5061281
0.4994253,0.50602615
0.497318,0.5051563
0.49645594,0.50457084
0.5012452,0.5053339
0.4994253,0.50380224
0.497318,0.5036155
0.49645594,0.50269556
0.4954023,0.50207597
0.4994253,0.503041
0.497318,0.50140727
0.49645594,0.5011062
0.4954023,0.50015867
0.49655172,0.49949986
0.497318,0.5014086
0.49645594,0.4996081
0.4954023,0.49923915
0.49655172,0.4983059
0.49588123,0.49766013
0.49645594,0.49947613
0.4954023,0.49754924
0.49655172,0.49710995
0.49588123,0.49615833
0.49511495,0.49551353
0.4954023,0.49870932
0.49655172,0.49664488
0.49588123,0.49618462
0.49511495,0.49526873
0.49434865,0.49463493
0.49655172,0.49746183
0.49588123,0.49531263
0.49511495,0.49477342
0.49434865,0.49383622
0.49425286,0.49324057
0.49588123,0.4986127
0.49511495,0.49646547
0.49434865,0.4959018
0.49425286,0.49510115
0.4948276,0.49462065
0.49511495,0.49805316
0.49434865,0.49584305
0.49425286,0.4952857
0.4948276,0.49453413
0.4954023,0.49411327
0.49434865,0.49732977
0.49425286,0.49513748
0.4948276,0.49454808
0.4954023,0.49385998
0.4966475,0.49347755
0.49425286,0.4960904
0.4948276,0.493886
0.4954023,0.49321556
0.4966475,0.492523
0.4993295,0.49218467
0.4948276,0.49557415
0.4954023,0.4933632
0.4966475,0.49258015
0.4993295,0.49195427
0.50143677,0.49170446
0.4954023,0.4958696
0.4966475,0.49361756
0.4993295,0.4928792
0.50143677,0.4923236
0.50431037,0.49214128
0.4966475,0.49640495
0.4993295,0.49419704
0.50143677,0.49351323
0.50431037,0.49303713
0.5078544,0.49295235
0.4993295,0.4984096
0.50143677,0.49627024
0.50431037,0.4956255
0.5078544,0.49525285
0.51072794,0.4953527
0.50143677,0.50147474
0.50431037,0.4992798
0.5078544,0.4986631
0.51072794,0.49852407
0.5138889,0.49882153
0.50431037,0.5037545
0.5078544,0.50152373
0.51072794,0.5009261
0.5138889,0.5009271
0.51791185,0.5013544
0.5078544,0.5068904
0.51072794,0.50472105
0.5138889,0.50412416
0.51791185,0.50430006
0.5227969,0.5048701
0.51072794,0.5113231
0.5138889,0.5091768
0.51791185,0.50862396
0.5227969,0.50891805
0.52672416,0.50966847
0.5138889,0.51502895
0.51791185,0.5129496
0.5227969,0.51246417
0.52672416,0.5129321
0.53055555,0.51385653
0.51791185,0.51937085
0.5227969,0.5174891
0.52672416,0.51716673
0.53055555,0.5178428
0.53352493,0.518939
0.5227969,0.524404
0.52672416,0.5229498
0.53055555,0.52291435
0.53352493,0.52386713
0.5374521,0.5253082
0.52672416,0.5312488
0.53055555,0.5304917
0.53352493,0.53086555
0.5374521,0.5323297
0.54195404,0.534207
0.53055555,0.5362176
0.53352493,0.53585076
0.5374521,0.5365771
0.54195404,0.53833187
0.54511493,0.5405258
0.53352493,0.5403308
0.5374521,0.54031837
0.54195404,0.5411801
0.54511493,0.54316354
0.5495211,0.54554844
0.5374521,0.54324245
0.54195404,0.5433791
0.54511493,0.54434216
0.5495211,0.5464221
0.55402297,0.5489552
0.54195404,0.54699546
0.54511493,0.54738927
0.5495211,0.54838514
0.55402297,0.55058026
0.5585249,0.55325234
0.54511493,0.55112815
0.5495211,0.55175596
0.55402297,0.5528245
0.5585249,0.55515677
0.56341,0.55794835
0.5495211,0.5531325
0.55402297,0.553838
0.5585249,0.55488956
0.56341,0.5572151
0.5677203,0.55999064
0.55402297,0.55632573
0.5585249,0.557165
0.56341,0.55822587
0.5677203,0.56064856
0.5728927,0.5634386
0.5585249,0.55941516
0.56341,0.5603239
0.5677203,0.5614094
0.5728927,0.56390035
0.5772989,0.566764
0.56341,0.56257313
0.5677203,0.56357056
0.5728927,0.5645827
0.5772989,0.5671707
0.5795019,0.5700905
0.5677203,0.5661168
0.5728927,0.5670751
0.5772989,0.568158
0.5795019,0.57080233
0.5826628,0.57379717
0.5728927,0.5689359
0.5772989,0.5699447
0.5795019,0.5710584
0.5826628,0.5737412
0.58716476,0.57672846
0.5772989,0.5729984
0.5795019,0.5740167
0.5826628,0.57515216
0.58716476,0.57783335
0.5901341,0.58085626
0.5795019,0.57620275
0.5826628,0.5772186
0.58716476,0.57827765
0.5901341,0.5809652
0.5930077,0.58396256
0.5826628,0.5778398
0.58716476,0.5787772
0.5901341,0.57974064
0.5930077,0.58229655
0.59578544,0.58524466
0.58716476,0.5802461
0.5901341,0.5811645
0.5930077,0.58203185
0.59578544,0.5845601
0.5972222,0.5875062
0.5901341,0.58381
0.5930077,0.5846874
0.59578544,0.58556396
0.5972222,0.58813345
0.60038316,0.59109545
0.5930077,0.5858787
0.59578544,0.5867425
0.5972222,0.5875802
0.60038316,0.59009635
0.6019157,0.59297717
0.59578544,0.5879681
0.5972222,0.588769
0.60038316,0.5895756
0.6019157,0.5920129
0.6049808,0.59486055
0.5972222,0.59019923
0.60038316,0.59094536
0.6019157,0.5917029
0.6049808,0.5941098
0.60766286,0.59694874
0.60038316,0.59162194
0.6019157,0.5922436
0.6049808,0.5929462
0.60766286,0.59524107
0.6075671,0.5980189
0.6019157,0.5950924
0.6049808,0.5957047
0.60766286,0.5964416
0.6075671,0.5988067
0.60775864,0.6015625
0.6049808,0.5967328
0.60766286,0.59718126
0.6075671,0.59784424
0.60775864,0.6001317
0.60775864,0.6027933
0.60766286,0.6001346
0.6075671,0.6005018
0.60775864,0.6011801
0.60775864,0.60349095
0.6078544,0.60611856
0.6075671,0.60245115
0.60775864,0.60267836
0.60775864,0.6032826
0.6078544,0.6055715
0.60775864,0.6081536
0.60775864,0.60267913
0.60775864,0.60258704
0.6078544,0.603143
0.60775864,0.60526454
0.60775864,0.607762
0.60775864,0.6030898
0.6078544,0.6027958
0.60775864,0.6032864
0.60775864,0.60528713
0.6078544,0.60767204
0.6078544,0.60335445
0.60775864,0.6028538
0.60775864,0.6033014
0.6078544,0.60518813
0.60708815,0.60748637
0.60775864,0.60345435
0.60775864,0.6027956
0.6078544,0.6031766
0.60708815,0.6049205
0.60536397,0.607102
0.60775864,0.6034186
0.6078544,0.6024875
0.60708815,0.60283816
0.60536397,0.6044172
0.60229886,0.6064809
0.6078544,0.60370106
0.60708815,0.60246867
0.60536397,0.6028173
0.60229886,0.60423183
0.6002874,0.60618263
0.60708815,0.6035889
0.60536397,0.6020295
0.60229886,0.60231614
0.6002874,0.60355467
0.59885055,0.60536164
0.60536397,0.6029629
0.60229886,0.60107315
0.6002874,0.6012258
0.59885055,0.6022312
0.5960728,0.6038962
0.60229886,0.6014993
0.6002874,0.599244
0.59885055,0.5992302
0.5960728,0.6000164
0.5942529,0.6015084
0.6002874,0.59905887
0.59885055,0.5962523
0.5960728,0.59604084
0.5942529,0.5964574
0.59166664,0.59771574
0.59885055,0.597282
0.5960728,0.5940072
0.5942529,0.593629
0.59166664,0.5937598
0.5881226,0.5948375
0.5960728,0.59601444
0.5942529,0.5922927
0.59166664,0.5917363
0.5881226,0.5916522
0.58534485,0.5925855
0.5942529,0.59374094
0.59166664,0.5895089
0.5881226,0.58870107
0.58534485,0.5883314
0.58304596,0.5890766
0.59166664,0.59212494
0.5881226,0.5875348
0.58534485,0.5865487
0.58304596,0.5859484
0.5808429,0.58656275
0.5881226,0.5897914
0.58534485,0.5848365
0.58304596,0.58363336
0.5808429,0.58278275
0.57883143,0.5831864
0.58534485,0.5864333
0.58304596,0.5811124
0.5808429,0.57964164
0.57883143,0.57849157
0.576341,0.5786805
0.58304596,0.58405006
0.5808429,0.5785973
0.57883143,0.5769595
0.576341,0.5756877
0.57461685,0.5757446
0.5808429,0.5820806
0.57883143,0.5764618
0.576341,0.57474697
0.57461685,0.57333785
0.5750958,0.5733323
0.57883143,0.58021057
0.576341,0.5745667
0.57461685,0.5727598
0.5750958,0.5712754
0.57270116,0.57120615
0.576341,0.5784571
0.57461685,0.57273245
0.5750958,0.57094234
0.57270116,0.5693917
0.57030654,0.569288
0.57461685,0.5755975
0.5750958,0.5698441
0.57270116,0.5679103
0.57030654,0.5662702
0.5678161,0.56608427
0.5750958,0.5736442
0.57270116,0.56779146
0.57030654,0.5658048
0.5678161,0.564126
0.5662835,0.56387365
0.57270116,0.57388943
0.57030654,0.5680895
0.5678161,0.56619084
0.5662835,0.5645681
0.56551725,0.56443274
0.57030654,0.57159984
0.5678161,0.5657176
0.5662835,0.5636827
0.56551725,0.5620481
0.56599617,0.56186885
0.5678161,0.56983685
0.5662835,0.5639101
0.56551725,0.561858
0.56599617,0.56018233
0.5659004,0.55999017
0.5662835,0.56732315
0.56551725,0.56145865
0.56599617,0.55932975
0.5659004,0.5576353
0.5639847,0.5573942
0.56551725,0.5653788
0.56599617,0.5595669
0.5659004,0.5574725
0.5639847,0.5557874
0.5623563,0.55554
0.56599617,0.5643554
0.5659004,0.5587249
0.5639847,0.55665255
0.5623563,0.55501676
0.5611111,0.5547868
0.5659004,0.5646039
0.5639847,0.55917454
0.5623563,0.55718064
0.5611111,0.5556565
0.56187737,0.555495
0.5639847,0.5645272
0.5623563,0.5592675
0.5611111,0.5573185
0.56187737,0.55589247
0.56130266,0.5557761
0.5623563,0.5626513
0.5611111,0.55742323
0.56187737,0.55541784
0.56130266,0.55401367
0.56082374,0.55382454
0.5611111,0.5613192
0.56187737,0.5561446
0.56130266,0.55413616
0.56082374,0.5527444
0.5604406,0.5525401
0.56187737,0.5598793
0.56130266,0.5548147
0.56082374,0.55272466
0.5604406,0.5513534
0.5596743,0.5511141
0.56130266,0.56011254
0.56082374,0.5552214
0.5604406,0.5531516
0.5596743,0.55188805
0.5590996,0.551687
0.56082374,0.55882204
0.5604406,0.55406237
0.5596743,0.55198663
0.5590996,0.5507705
0.5597701,0.55056536
0.5604406,0.5577719
0.5596743,0.55310106
0.5590996,0.55098647
0.5597701,0.5497827
0.56005746,0.5495931
0.5596743,0.55673605
0.5590996,0.5521157
0.5597701,0.54997647
0.56005746,0.5488219
0.5599617,0.5486518
0.5590996,0.55530584
0.5597701,0.5507555
0.56005746,0.54858965
0.5599617,0.54744536
0.56072795,0.5472753
0.5597701,0.55393016
0.56005746,0.5494806
0.5599617,0.547315
0.56072795,0.54620993
0.5633142,0.5460347
0.56005746,0.5539242
0.5599617,0.54961073
0.56072795,0.54750305
0.5633142,0.54649484
0.5633142,0.54643273
0.5599617,0.5534283
0.56072795,0.5492539
0.5633142,0.54715157
0.5633142,0.5462452
0.5625479,0.54622126
0.56072795,0.55240005
0.5633142,0.54831827
0.5633142,0.54621524
0.5625479,0.54533845
0.5625479,0.54535836
0.5633142,0.552394
0.5633142,0.5484478
0.5625479,0.5463581
0.5625479,0.54560083
0.5626437,0.5456626
0.5633142,0.55469024
0.5625479,0.5508463
0.5625479,0.5489482
0.5626437,0.5483566
0.5633142,0.54857844
0.5625479,0.55429304
0.5625479,0.5507228
0.5626437,0.5487324
0.5633142,0.5481892
0.56293106,0.5484901
0.5625479,0.5529094
0.5626437,0.5494199
0.5633142,0.54730654
0.56293106,0.54670686
0.56417626,0.54703045
0.5626437,0.5522659
0.5633142,0.5488474
0.56293106,0.54669124
0.56417626,0.5460664
0.5652299,0.5465041
0.5633142,0.5514655
0.56293106,0.5481205
0.56417626,0.54596055
0.5652299,0.5453294
0.56484675,0.545897
0.56293106,0.5514893
0.56417626,0.5481363
0.5652299,0.54605913
0.56484675,0.5454225
0.5683908,0.5461588
0.56417626,0.550378
0.5652299,0.54709375
0.56484675,0.5450345
0.5683908,0.5443524
0.56867814,0.5451697
0.5652299,0.55113614
0.56484675,0.54784805
0.5683908,0.54583883
0.56867814,0.5451797
0.56867814,0.54612833
0.56484675,0.5523298
0.5683908,0.5490541
0.56867814,0.5470252
0.56867814,0.5464289
0.5683908,0.54749006
0.5683908,0.5518376
0.56867814,0.5485827
0.56867814,0.54653203
0.5683908,0.54594755
0.5688697,0.54704547
0.56867814,0.5570881
0.56867814,0.5537692
0.5683908,0.55186015
0.5688697,0.5515783
0.570115,0.5529873
0.56867814,0.5579851
0.5683908,0.554781
0.5688697,0.55301696
0.570115,0.5528381
0.5704981,0.55436325
0.5683908,0.55847085
0.5688697,0.5554942
0.570115,0.5537927
0.5704981,0.5536549
0.57222223,0.5552504
0.5688697,0.55819464
0.570115,0.55540663
0.5704981,0.5536671
0.57222223,0.5535413
0.5729885,0.5551821
0.570115,0.55903804
0.5704981,0.5564057
0.57222223,0.5546777
0.5729885,0.5546349
0.57404214,0.5562747
0.5704981,0.56102055
0.57222223,0.5585613
0.5729885,0.55698097
0.57404214,0.5570155
0.57528734,0.55872124
0.57222223,0.56161886
0.5729885,0.5593052
0.57404214,0.5577443
0.57528734,0.55778545
0.57720304,0.5595239
0.5729885,0.564836
0.57404214,0.5626972
0.57528734,0.56134385
0.57720304,0.5615501
0.5801724,0.5634965
0.57404214,0.5660776
0.57528734,0.5640746
0.57720304,0.5627945
0.5801724,0.56304455
0.5821839,0.56508076
0.57528734,0.5684016
0.57720304,0.5666739
0.5801724,0.5654898
0.5821839,0.5658227
0.5833333,0.5680614
0.57720304,0.57079786
0.5801724,0.56928927
0.5821839,0.5682721
0.5833333,0.5687248
0.58381224,0.57111394
0.5801724,0.5744279
0.5821839,0.57323
0.5833333,0.5725743
0.58381224,0.5732134
0.58429116,0.5758058
0.5821839,0.5795688
0.5833333,0.5789075
