config,model_structure.sequence_length,model_structure.hidden_size,model_structure.num_layers,hyperparameters.learning_rate,data.batch_size,train_loss,val_loss
config_LSTM_L_2_ID_153.yaml,30,224,2,0.01,1000,0.6891331672668457,0.916585386
config_LSTM_L_2_ID_154.yaml,30,224,2,0.01,1500,0.8074008226394653,0.6334437727928162
config_LSTM_L_2_ID_155.yaml,30,224,2,0.01,2000,1.3567957878112793,1.465311884880066
config_LSTM_L_2_ID_156.yaml,30,224,2,0.008,1000,0.28408437967300415,0.230753556
config_LSTM_L_2_ID_157.yaml,30,224,2,0.008,1500,0.019221913069486618,0.041581813246011734
config_LSTM_L_2_ID_158.yaml,30,224,2,0.008,2000,0.3203492760658264,0.1426166594028473
config_LSTM_L_2_ID_159.yaml,30,224,2,0.006,1000,0.019070034846663475,0.042082227766513824
config_LSTM_L_2_ID_160.yaml,30,224,2,0.006,1500,0.064321265,0.085992076
config_LSTM_L_2_ID_161.yaml,30,224,2,0.006,2000,0.071879596,0.072368413
config_LSTM_L_1_ID_162.yaml,30,288,1,0.01,1000,0.043377045542001724,0.056925651
config_LSTM_L_1_ID_163.yaml,30,288,1,0.01,1500,0.041872423,0.058300473
config_LSTM_L_1_ID_164.yaml,30,288,1,0.01,2000,0.1611621379852295,0.16221749782562256
config_LSTM_L_1_ID_165.yaml,30,288,1,0.008,1000,0.2276548594236374,0.541398823
config_LSTM_L_1_ID_166.yaml,30,288,1,0.008,1500,0.10496897250413895,0.21556472778320312
config_LSTM_L_1_ID_167.yaml,30,288,1,0.008,2000,0.27285903692245483,0.2140493094921112
config_LSTM_L_1_ID_168.yaml,30,288,1,0.006,1000,0.025190796703100204,0.046504203
config_LSTM_L_1_ID_169.yaml,30,288,1,0.006,1500,0.19664911925792694,0.20280641317367554
config_LSTM_L_1_ID_170.yaml,30,288,1,0.006,2000,0.027836071327328682,0.053194519
config_LSTM_L_2_ID_171.yaml,30,288,2,0.01,1000,0.039668355137109756,0.052288323640823364
config_LSTM_L_2_ID_172.yaml,30,288,2,0.01,1500,0.6008293032646179,0.5232937932014465
config_LSTM_L_2_ID_173.yaml,30,288,2,0.01,2000,0.035027552396059036,0.054607861
config_LSTM_L_2_ID_174.yaml,30,288,2,0.008,1000,0.024560537189245224,0.047580637
config_LSTM_L_2_ID_175.yaml,30,288,2,0.008,1500,1.4418003559112549,0.813315213
config_LSTM_L_2_ID_176.yaml,30,288,2,0.008,2000,0.024039728567004204,0.047736067324876785
config_LSTM_L_2_ID_177.yaml,30,288,2,0.006,1000,0.022944784,0.049631022
config_LSTM_L_2_ID_178.yaml,30,288,2,0.006,1500,0.018223585560917854,0.042700041085481644
config_LSTM_L_2_ID_179.yaml,30,288,2,0.006,2000,0.2618674635887146,0.10777675360441208
config_LSTM_L_1_ID_180.yaml,50,32,1,0.01,1000,0.018903760239481926,0.043119970709085464
config_LSTM_L_1_ID_181.yaml,50,32,1,0.01,1500,0.019236285239458084,0.042071842
config_LSTM_L_1_ID_182.yaml,50,32,1,0.01,2000,0.021558329463005066,0.051826749
config_LSTM_norm_fix_noOver40_L_1_ID_0.yaml,50,32,1,0.01,4000,0.11195460706949234,0.088254981
config_LSTM_norm_fix_noOver40_L_1_ID_1.yaml,50,96,1,0.01,4000,0.1800650656223297,0.090025924
config_LSTM_norm_fix_noOver40_L_1_ID_2.yaml,50,160,1,0.01,4000,0.3719044625759125,0.19221773743629456
config_LSTM_norm_fix_noOver40_L_1_ID_3.yaml,50,224,1,0.01,4000,0.5018382668495178,0.12942145764827728
config_LSTM_norm_fix_noOver40_L_1_ID_4.yaml,50,288,1,0.01,4000,0.8476714491844177,0.5077586770057678
config_LSTM_norm_fix_noOver40_L_1_ID_5.yaml,150,32,1,0.01,4000,1.4588159322738647,0.1327389031648636
config_LSTM_norm_fix_noOver40_L_1_ID_6.yaml,150,96,1,0.01,4000,0.6238428354263306,0.0966423
config_LSTM_norm_fix_noOver40_L_1_ID_7.yaml,150,160,1,0.01,4000,2.4704630374908447,1.2599689960479736
config_LSTM_norm_fix_noOver40_L_1_ID_8.yaml,150,224,1,0.01,4000,1.7950072288513184,1.0314385890960693
config_LSTM_norm_fix_noOver40_L_1_ID_9.yaml,150,288,1,0.01,4000,5.127664566040039,6.143014907836914
config_LSTM_norm_fix_noOver40_L_1_ID_10.yaml,250,32,1,0.01,4000,0.8086031675338745,0.14947064220905304
config_LSTM_norm_fix_noOver40_L_1_ID_11.yaml,250,96,1,0.01,4000,0.8427128195762634,0.38358399271965027
