true_values,predicted_values
0.58716476,0.59160376
0.5901341,0.59525096
0.5930077,0.5972164
0.5826628,0.5800586
0.58716476,0.588264
0.5901341,0.5923499
0.5930077,0.59589
0.59578544,0.5978042
0.58716476,0.5816482
0.5901341,0.5900786
0.5930077,0.59414554
0.59578544,0.59770185
0.5972222,0.59957576
0.5901341,0.5848668
0.5930077,0.59351814
0.59578544,0.5976643
0.5972222,0.6013272
0.60038316,0.60309815
0.5930077,0.58609307
0.59578544,0.59503305
0.5972222,0.5992882
0.60038316,0.60298085
0.6019157,0.6045919
0.59578544,0.5874368
0.5972222,0.59665394
0.60038316,0.60096586
0.6019157,0.60469043
0.6049808,0.6062074
0.5972222,0.5891353
0.60038316,0.59860194
0.6019157,0.60297245
0.6049808,0.60676134
0.60766286,0.60819155
0.60038316,0.5894348
0.6019157,0.59892416
0.6049808,0.60337555
0.60766286,0.60717607
0.6075671,0.60857916
0.6019157,0.59253633
0.6049808,0.6022677
0.60766286,0.606894
0.6075671,0.6108756
0.60775864,0.6121419
0.6049808,0.59344083
0.60766286,0.6032416
0.6075671,0.60790575
0.60775864,0.6119398
0.60775864,0.61311096
0.60766286,0.59655756
0.6075671,0.60656196
0.60775864,0.6113159
0.60775864,0.6155101
0.6078544,0.61651707
0.6075671,0.59845185
0.60775864,0.608535
0.60775864,0.61333895
0.6078544,0.61758983
0.60775864,0.618553
0.60775864,0.597698
0.60775864,0.6075802
0.6078544,0.6123988
0.60775864,0.6166415
0.60775864,0.61759037
0.60775864,0.5973634
0.6078544,0.6071044
0.60775864,0.61196464
0.60775864,0.6162225
0.6078544,0.617077
0.6078544,0.5971288
0.60775864,0.6067224
0.60775864,0.6115861
0.6078544,0.6158756
0.60708815,0.6166418
0.60775864,0.5969779
0.60775864,0.606346
0.6078544,0.6112434
0.60708815,0.6154338
0.60536397,0.6161213
0.60775864,0.5968258
0.6078544,0.6059347
0.60708815,0.61081535
0.60536397,0.6148987
0.60229886,0.61551464
0.6078544,0.5972111
0.60708815,0.6059273
0.60536397,0.6107816
0.60229886,0.6147211
0.6002874,0.61520344
0.60708815,0.59695363
0.60536397,0.60525566
0.60229886,0.6100506
0.6002874,0.6138711
0.59885055,0.61423993
0.60536397,0.59602857
0.60229886,0.6038331
0.6002874,0.60845447
0.59885055,0.6120783
0.5960728,0.6124073
0.60229886,0.5941195
0.6002874,0.6013724
0.59885055,0.6057691
0.5960728,0.6091812
0.5942529,0.6093786
0.6002874,0.59112895
0.59885055,0.5975918
0.5960728,0.60167193
0.5942529,0.60463625
0.59166664,0.6047131
0.59885055,0.58914536
0.5960728,0.59501994
0.5942529,0.5987817
0.59166664,0.6014393
0.5881226,0.6013987
0.5960728,0.5879193
0.5942529,0.5932196
0.59166664,0.5966891
0.5881226,0.5991362
0.58534485,0.59898233
0.5942529,0.5858354
0.59166664,0.590443
0.5881226,0.59352916
0.58534485,0.5956452
0.58304596,0.5953142
0.59166664,0.58433807
0.5881226,0.58842987
0.58534485,0.59126014
0.58304596,0.5931021
0.5808429,0.5926275
0.5881226,0.5819573
0.58534485,0.5854838
0.58304596,0.5880167
0.5808429,0.5896082
0.57883143,0.5889311
0.58534485,0.5783302
0.58304596,0.58134997
0.5808429,0.5835761
0.57883143,0.5848963
0.576341,0.5840902
0.58304596,0.5757976
0.5808429,0.5785145
0.57883143,0.5805425
0.576341,0.58178484
0.57461685,0.58088744
0.5808429,0.57382035
0.57883143,0.57625663
0.576341,0.5781932
0.57461685,0.57931304
0.5750958,0.5784021
0.57883143,0.571977
0.576341,0.5742832
0.57461685,0.5760963
0.5750958,0.5771384
0.57270116,0.57621694
0.576341,0.5701116
0.57461685,0.57228494
0.5750958,0.5740977
0.57270116,0.575115
0.57030654,0.57418627
0.57461685,0.56724375
0.5750958,0.56927943
0.57270116,0.57095486
0.57030654,0.5719085
0.5678161,0.5708951
0.5750958,0.5652632
0.57270116,0.56708777
0.57030654,0.56873274
0.5678161,0.5696881
0.5662835,0.56859756
0.57270116,0.5657666
0.57030654,0.56748456
0.5678161,0.5692171
0.5662835,0.5702319
0.56551725,0.56924564
0.57030654,0.56363857
0.5678161,0.5650903
0.5662835,0.5666727
0.56551725,0.5676289
0.56599617,0.56664443
